Fecha,Contenido,Título del vídeo,Hora de publicación del vídeo,Duración,Duración media de las visualizaciones
2026-08-06,o_1LiLkrlso,«Todavía es pronto»: alguien midió cuánto hay que esperar exactamente,"Aug 20, 2026",330,0:00:00
2026-08-07,o_1LiLkrlso,«Todavía es pronto»: alguien midió cuánto hay que esperar exactamente,"Aug 20, 2026",330,0:00:00
2026-08-08,o_1LiLkrlso,«Todavía es pronto»: alguien midió cuánto hay que esperar exactamente,"Aug 20, 2026",330,0:00:00
2026-08-09,o_1LiLkrlso,«Todavía es pronto»: alguien midió cuánto hay que esperar exactamente,"Aug 20, 2026",330,0:00:00
2026-08-10,o_1LiLkrlso,«Todavía es pronto»: alguien midió cuánto hay que esperar exactamente,"Aug 20, 2026",330,0:00:00
2026-08-11,o_1LiLkrlso,«Todavía es pronto»: alguien midió cuánto hay que esperar exactamente,"Aug 20, 2026",330,0:00:00
2026-08-12,o_1LiLkrlso,«Todavía es pronto»: alguien midió cuánto hay que esperar exactamente,"Aug 20, 2026",330,0:00:00
2026-08-13,o_1LiLkrlso,«Todavía es pronto»: alguien midió cuánto hay que esperar exactamente,"Aug 20, 2026",330,0:00:00
2026-08-14,o_1LiLkrlso,«Todavía es pronto»: alguien midió cuánto hay que esperar exactamente,"Aug 20, 2026",330,0:00:00
2026-08-15,o_1LiLkrlso,«Todavía es pronto»: alguien midió cuánto hay que esperar exactamente,"Aug 20, 2026",330,0:00:00
2026-08-16,o_1LiLkrlso,«Todavía es pronto»: alguien midió cuánto hay que esperar exactamente,"Aug 20, 2026",330,0:00:00
2026-08-17,o_1LiLkrlso,«Todavía es pronto»: alguien midió cuánto hay que esperar exactamente,"Aug 20, 2026",330,0:00:00
2026-08-18,o_1LiLkrlso,«Todavía es pronto»: alguien midió cuánto hay que esperar exactamente,"Aug 20, 2026",330,0:00:00
2026-08-19,o_1LiLkrlso,«Todavía es pronto»: alguien midió cuánto hay que esperar exactamente,"Aug 20, 2026",330,0:00:00
2026-08-20,o_1LiLkrlso,«Todavía es pronto»: alguien midió cuánto hay que esperar exactamente,"Aug 20, 2026",330,0:01:24
2026-08-21,o_1LiLkrlso,«Todavía es pronto»: alguien midió cuánto hay que esperar exactamente,"Aug 20, 2026",330,
2026-08-22,o_1LiLkrlso,«Todavía es pronto»: alguien midió cuánto hay que esperar exactamente,"Aug 20, 2026",330,0:00:00
2026-07-26,uthJg_Db0XE,Por qué te ríes: las dos condiciones que cumple cualquier chiste,"Aug 19, 2026",346,0:00:00
2026-07-27,uthJg_Db0XE,Por qué te ríes: las dos condiciones que cumple cualquier chiste,"Aug 19, 2026",346,0:00:00
2026-07-28,uthJg_Db0XE,Por qué te ríes: las dos condiciones que cumple cualquier chiste,"Aug 19, 2026",346,0:00:00
2026-07-29,uthJg_Db0XE,Por qué te ríes: las dos condiciones que cumple cualquier chiste,"Aug 19, 2026",346,0:00:00
2026-07-30,uthJg_Db0XE,Por qué te ríes: las dos condiciones que cumple cualquier chiste,"Aug 19, 2026",346,0:00:00
2026-07-31,uthJg_Db0XE,Por qué te ríes: las dos condiciones que cumple cualquier chiste,"Aug 19, 2026",346,0:00:00
2026-08-01,uthJg_Db0XE,Por qué te ríes: las dos condiciones que cumple cualquier chiste,"Aug 19, 2026",346,0:00:00
2026-08-02,uthJg_Db0XE,Por qué te ríes: las dos condiciones que cumple cualquier chiste,"Aug 19, 2026",346,0:00:00
2026-08-03,uthJg_Db0XE,Por qué te ríes: las dos condiciones que cumple cualquier chiste,"Aug 19, 2026",346,0:00:00
2026-08-04,uthJg_Db0XE,Por qué te ríes: las dos condiciones que cumple cualquier chiste,"Aug 19, 2026",346,0:00:00
2026-08-05,uthJg_Db0XE,Por qué te ríes: las dos condiciones que cumple cualquier chiste,"Aug 19, 2026",346,0:00:00
2026-08-06,uthJg_Db0XE,Por qué te ríes: las dos condiciones que cumple cualquier chiste,"Aug 19, 2026",346,0:00:00
2026-08-07,uthJg_Db0XE,Por qué te ríes: las dos condiciones que cumple cualquier chiste,"Aug 19, 2026",346,0:00:00
2026-08-08,uthJg_Db0XE,Por qué te ríes: las dos condiciones que cumple cualquier chiste,"Aug 19, 2026",346,0:00:00
2026-08-09,uthJg_Db0XE,Por qué te ríes: las dos condiciones que cumple cualquier chiste,"Aug 19, 2026",346,0:00:00
2026-08-10,uthJg_Db0XE,Por qué te ríes: las dos condiciones que cumple cualquier chiste,"Aug 19, 2026",346,0:00:00
2026-08-11,uthJg_Db0XE,Por qué te ríes: las dos condiciones que cumple cualquier chiste,"Aug 19, 2026",346,0:00:00
2026-08-12,uthJg_Db0XE,Por qué te ríes: las dos condiciones que cumple cualquier chiste,"Aug 19, 2026",346,0:00:00
2026-08-13,uthJg_Db0XE,Por qué te ríes: las dos condiciones que cumple cualquier chiste,"Aug 19, 2026",346,0:00:00
2026-08-14,uthJg_Db0XE,Por qué te ríes: las dos condiciones que cumple cualquier chiste,"Aug 19, 2026",346,0:00:00
2026-08-15,uthJg_Db0XE,Por qué te ríes: las dos condiciones que cumple cualquier chiste,"Aug 19, 2026",346,0:00:00
2026-08-16,uthJg_Db0XE,Por qué te ríes: las dos condiciones que cumple cualquier chiste,"Aug 19, 2026",346,0:00:00
2026-08-17,uthJg_Db0XE,Por qué te ríes: las dos condiciones que cumple cualquier chiste,"Aug 19, 2026",346,0:00:00
2026-08-18,uthJg_Db0XE,Por qué te ríes: las dos condiciones que cumple cualquier chiste,"Aug 19, 2026",346,0:00:00
2026-08-19,uthJg_Db0XE,Por qué te ríes: las dos condiciones que cumple cualquier chiste,"Aug 19, 2026",346,0:05:45
2026-08-20,uthJg_Db0XE,Por qué te ríes: las dos condiciones que cumple cualquier chiste,"Aug 19, 2026",346,0:01:41
2026-08-21,uthJg_Db0XE,Por qué te ríes: las dos condiciones que cumple cualquier chiste,"Aug 19, 2026",346,0:00:00
2026-08-22,uthJg_Db0XE,Por qué te ríes: las dos condiciones que cumple cualquier chiste,"Aug 19, 2026",346,0:02:09
